timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.67346E+12,79,homePage-1,200,OK,com.librarydreams 1-6,text,true,,1429,123,10,10,https://www.librarydreams.com/,79,0,0
1.67346E+12,147,homePage,200,OK,com.librarydreams 1-7,text,true,,1918,242,10,10,https://www.librarydreams.com/,71,0,0
1.67346E+12,71,homePage-0,308,Permanent Redirect,com.librarydreams 1-7,text,true,,489,119,10,10,https://librarydreams.com/,71,0,0
1.67346E+12,173,homePage,200,OK,com.librarydreams 1-2,text,true,,1918,242,10,10,https://www.librarydreams.com/,81,0,0
1.67346E+12,76,homePage-1,200,OK,com.librarydreams 1-7,text,true,,1429,123,10,10,https://www.librarydreams.com/,76,0,0
1.67346E+12,81,homePage-0,308,Permanent Redirect,com.librarydreams 1-2,text,true,,489,119,10,10,https://librarydreams.com/,81,0,0
1.67346E+12,92,homePage-1,200,OK,com.librarydreams 1-2,text,true,,1429,123,10,10,https://www.librarydreams.com/,92,0,0
1.67346E+12,404,homePage,200,OK,com.librarydreams 1-5,text,true,,1918,242,10,10,https://www.librarydreams.com/,100,0,0
1.67346E+12,100,homePage-0,308,Permanent Redirect,com.librarydreams 1-5,text,true,,489,119,10,10,https://librarydreams.com/,100,0,0
1.67346E+12,304,homePage-1,200,OK,com.librarydreams 1-5,text,true,,1429,123,10,10,https://www.librarydreams.com/,304,0,0
1.67346E+12,148,homePage,200,OK,com.librarydreams 1-8,text,true,,1918,242,10,10,https://www.librarydreams.com/,73,0,0
1.67346E+12,73,homePage-0,308,Permanent Redirect,com.librarydreams 1-8,text,true,,489,119,10,10,https://librarydreams.com/,73,0,0
1.67346E+12,75,homePage-1,200,OK,com.librarydreams 1-8,text,true,,1429,123,10,10,https://www.librarydreams.com/,75,0,0
1.67346E+12,146,homePage,200,OK,com.librarydreams 1-10,text,true,,1918,242,10,10,https://www.librarydreams.com/,70,0,0
1.67346E+12,70,homePage-0,308,Permanent Redirect,com.librarydreams 1-10,text,true,,489,119,10,10,https://librarydreams.com/,70,0,0
1.67346E+12,76,homePage-1,200,OK,com.librarydreams 1-10,text,true,,1429,123,10,10,https://www.librarydreams.com/,76,0,0
1.67346E+12,162,homePage,200,OK,com.librarydreams 1-3,text,true,,1918,242,10,10,https://www.librarydreams.com/,81,0,0
1.67346E+12,81,homePage-0,308,Permanent Redirect,com.librarydreams 1-3,text,true,,489,119,10,10,https://librarydreams.com/,81,0,0
1.67346E+12,81,homePage-1,200,OK,com.librarydreams 1-3,text,true,,1429,123,10,10,https://www.librarydreams.com/,81,0,0
1.67346E+12,171,homePage,200,OK,com.librarydreams 1-9,text,true,,1918,242,10,10,https://www.librarydreams.com/,83,0,0
1.67346E+12,84,homePage-0,308,Permanent Redirect,com.librarydreams 1-9,text,true,,489,119,10,10,https://librarydreams.com/,83,0,0
1.67346E+12,87,homePage-1,200,OK,com.librarydreams 1-9,text,true,,1429,123,10,10,https://www.librarydreams.com/,87,0,0
1.67346E+12,166,homePage,200,OK,com.librarydreams 1-2,text,true,,1918,242,10,10,https://www.librarydreams.com/,79,0,0
1.67346E+12,79,homePage-0,308,Permanent Redirect,com.librarydreams 1-2,text,true,,489,119,10,10,https://librarydreams.com/,79,0,0
1.67346E+12,87,homePage-1,200,OK,com.librarydreams 1-2,text,true,,1429,123,10,10,https://www.librarydreams.com/,87,0,0
1.67346E+12,167,homePage,200,OK,com.librarydreams 1-1,text,true,,1918,242,10,10,https://www.librarydreams.com/,86,0,0
1.67346E+12,86,homePage-0,308,Permanent Redirect,com.librarydreams 1-1,text,true,,489,119,10,10,https://librarydreams.com/,86,0,0
1.67346E+12,81,homePage-1,200,OK,com.librarydreams 1-1,text,true,,1429,123,10,10,https://www.librarydreams.com/,81,0,0
1.67346E+12,173,homePage,200,OK,com.librarydreams 1-4,text,true,,1918,242,10,10,https://www.librarydreams.com/,74,0,0
1.67346E+12,74,homePage-0,308,Permanent Redirect,com.librarydreams 1-4,text,true,,489,119,10,10,https://librarydreams.com/,74,0,0
1.67346E+12,99,homePage-1,200,OK,com.librarydreams 1-4,text,true,,1429,123,10,10,https://www.librarydreams.com/,99,0,0
1.67346E+12,156,homePage,200,OK,com.librarydreams 1-7,text,true,,1918,242,10,10,https://www.librarydreams.com/,81,0,0
1.67346E+12,81,homePage-0,308,Permanent Redirect,com.librarydreams 1-7,text,true,,489,119,10,10,https://librarydreams.com/,81,0,0
1.67346E+12,75,homePage-1,200,OK,com.librarydreams 1-7,text,true,,1429,123,10,10,https://www.librarydreams.com/,75,0,0
1.67346E+12,161,homePage,200,OK,com.librarydreams 1-6,text,true,,1918,242,10,10,https://www.librarydreams.com/,83,0,0
1.67346E+12,83,homePage-0,308,Permanent Redirect,com.librarydreams 1-6,text,true,,489,119,10,10,https://librarydreams.com/,83,0,0
1.67346E+12,78,homePage-1,200,OK,com.librarydreams 1-6,text,true,,1429,123,10,10,https://www.librarydreams.com/,78,0,0
1.67346E+12,214,homePage,200,OK,com.librarydreams 1-9,text,true,,1918,242,10,10,https://www.librarydreams.com/,119,0,0
1.67346E+12,119,homePage-0,308,Permanent Redirect,com.librarydreams 1-9,text,true,,489,119,10,10,https://librarydreams.com/,119,0,0
1.67346E+12,94,homePage-1,200,OK,com.librarydreams 1-9,text,true,,1429,123,10,10,https://www.librarydreams.com/,94,0,0
1.67346E+12,149,homePage,200,OK,com.librarydreams 1-8,text,true,,1918,242,10,10,https://www.librarydreams.com/,73,0,0
1.67346E+12,73,homePage-0,308,Permanent Redirect,com.librarydreams 1-8,text,true,,489,119,10,10,https://librarydreams.com/,73,0,0
1.67346E+12,75,homePage-1,200,OK,com.librarydreams 1-8,text,true,,1429,123,10,10,https://www.librarydreams.com/,75,0,0
1.67346E+12,153,homePage,200,OK,com.librarydreams 1-10,text,true,,1918,242,10,10,https://www.librarydreams.com/,73,0,0
1.67346E+12,73,homePage-0,308,Permanent Redirect,com.librarydreams 1-10,text,true,,489,119,10,10,https://librarydreams.com/,73,0,0
1.67346E+12,80,homePage-1,200,OK,com.librarydreams 1-10,text,true,,1429,123,10,10,https://www.librarydreams.com/,80,0,0
1.67346E+12,151,homePage,200,OK,com.librarydreams 1-5,text,true,,1918,242,10,10,https://www.librarydreams.com/,77,0,0
1.67346E+12,78,homePage-0,308,Permanent Redirect,com.librarydreams 1-5,text,true,,489,119,10,10,https://librarydreams.com/,77,0,0
1.67346E+12,73,homePage-1,200,OK,com.librarydreams 1-5,text,true,,1429,123,10,10,https://www.librarydreams.com/,73,0,0
1.67346E+12,159,homePage,200,OK,com.librarydreams 1-3,text,true,,1918,242,10,10,https://www.librarydreams.com/,74,0,0
1.67346E+12,74,homePage-0,308,Permanent Redirect,com.librarydreams 1-3,text,true,,489,119,10,10,https://librarydreams.com/,74,0,0
1.67346E+12,84,homePage-1,200,OK,com.librarydreams 1-3,text,true,,1429,123,10,10,https://www.librarydreams.com/,84,0,0
1.67346E+12,168,homePage,200,OK,com.librarydreams 1-2,text,true,,1918,242,10,10,https://www.librarydreams.com/,84,0,0
1.67346E+12,84,homePage-0,308,Permanent Redirect,com.librarydreams 1-2,text,true,,489,119,10,10,https://librarydreams.com/,84,0,0
1.67346E+12,84,homePage-1,200,OK,com.librarydreams 1-2,text,true,,1429,123,10,10,https://www.librarydreams.com/,84,0,0
1.67346E+12,154,homePage,200,OK,com.librarydreams 1-1,text,true,,1918,242,10,10,https://www.librarydreams.com/,77,0,0
1.67346E+12,77,homePage-0,308,Permanent Redirect,com.librarydreams 1-1,text,true,,489,119,10,10,https://librarydreams.com/,77,0,0
1.67346E+12,77,homePage-1,200,OK,com.librarydreams 1-1,text,true,,1429,123,10,10,https://www.librarydreams.com/,77,0,0
1.67346E+12,148,homePage,200,OK,com.librarydreams 1-8,text,true,,1918,242,10,10,https://www.librarydreams.com/,74,0,0
1.67346E+12,74,homePage-0,308,Permanent Redirect,com.librarydreams 1-8,text,true,,489,119,10,10,https://librarydreams.com/,74,0,0
1.67346E+12,74,homePage-1,200,OK,com.librarydreams 1-8,text,true,,1429,123,10,10,https://www.librarydreams.com/,74,0,0
1.67346E+12,147,homePage,200,OK,com.librarydreams 1-7,text,true,,1918,242,10,10,https://www.librarydreams.com/,70,0,0
1.67346E+12,74,homePage-0,308,Permanent Redirect,com.librarydreams 1-7,text,true,,489,119,10,10,https://librarydreams.com/,70,0,0
1.67346E+12,73,homePage-1,200,OK,com.librarydreams 1-7,text,true,,1429,123,10,10,https://www.librarydreams.com/,73,0,0
1.67346E+12,169,homePage,200,OK,com.librarydreams 1-4,text,true,,1918,242,10,10,https://www.librarydreams.com/,74,0,0
1.67346E+12,74,homePage-0,308,Permanent Redirect,com.librarydreams 1-4,text,true,,489,119,10,10,https://librarydreams.com/,74,0,0
1.67346E+12,95,homePage-1,200,OK,com.librarydreams 1-4,text,true,,1429,123,10,10,https://www.librarydreams.com/,95,0,0
1.67346E+12,164,homePage,200,OK,com.librarydreams 1-9,text,true,,1918,242,10,10,https://www.librarydreams.com/,88,0,0
1.67346E+12,88,homePage-0,308,Permanent Redirect,com.librarydreams 1-9,text,true,,489,119,10,10,https://librarydreams.com/,88,0,0
1.67346E+12,76,homePage-1,200,OK,com.librarydreams 1-9,text,true,,1429,123,10,10,https://www.librarydreams.com/,76,0,0
1.67346E+12,157,homePage,200,OK,com.librarydreams 1-6,text,true,,1918,242,10,10,https://www.librarydreams.com/,80,0,0
1.67346E+12,80,homePage-0,308,Permanent Redirect,com.librarydreams 1-6,text,true,,489,119,10,10,https://librarydreams.com/,80,0,0
1.67346E+12,77,homePage-1,200,OK,com.librarydreams 1-6,text,true,,1429,123,10,10,https://www.librarydreams.com/,77,0,0
1.67346E+12,147,homePage,200,OK,com.librarydreams 1-10,text,true,,1918,242,10,10,https://www.librarydreams.com/,70,0,0
1.67346E+12,71,homePage-0,308,Permanent Redirect,com.librarydreams 1-10,text,true,,489,119,10,10,https://librarydreams.com/,70,0,0
1.67346E+12,76,homePage-1,200,OK,com.librarydreams 1-10,text,true,,1429,123,10,10,https://www.librarydreams.com/,76,0,0
1.67346E+12,180,homePage,200,OK,com.librarydreams 1-2,text,true,,1918,242,10,10,https://www.librarydreams.com/,81,0,0
1.67346E+12,81,homePage-0,308,Permanent Redirect,com.librarydreams 1-2,text,true,,489,119,10,10,https://librarydreams.com/,81,0,0
1.67346E+12,99,homePage-1,200,OK,com.librarydreams 1-2,text,true,,1429,123,10,10,https://www.librarydreams.com/,99,0,0
1.67346E+12,387,homePage,200,OK,com.librarydreams 1-5,text,true,,1918,242,10,10,https://www.librarydreams.com/,75,0,0
1.67346E+12,75,homePage-0,308,Permanent Redirect,com.librarydreams 1-5,text,true,,489,119,10,10,https://librarydreams.com/,75,0,0
1.67346E+12,312,homePage-1,200,OK,com.librarydreams 1-5,text,true,,1429,123,10,10,https://www.librarydreams.com/,312,0,0
1.67346E+12,185,homePage,200,OK,com.librarydreams 1-7,text,true,,1918,242,10,10,https://www.librarydreams.com/,101,0,0
1.67346E+12,101,homePage-0,308,Permanent Redirect,com.librarydreams 1-7,text,true,,489,119,10,10,https://librarydreams.com/,101,0,0
1.67346E+12,84,homePage-1,200,OK,com.librarydreams 1-7,text,true,,1429,123,10,10,https://www.librarydreams.com/,84,0,0
1.67346E+12,302,homePage,200,OK,com.librarydreams 1-8,text,true,,1918,242,10,10,https://www.librarydreams.com/,222,0,0
1.67346E+12,222,homePage-0,308,Permanent Redirect,com.librarydreams 1-8,text,true,,489,119,10,10,https://librarydreams.com/,222,0,0
1.67346E+12,80,homePage-1,200,OK,com.librarydreams 1-8,text,true,,1429,123,10,10,https://www.librarydreams.com/,80,0,0
1.67346E+12,658,homePage,200,OK,com.librarydreams 1-3,text,true,,1918,242,10,10,https://www.librarydreams.com/,74,0,0
1.67346E+12,74,homePage-0,308,Permanent Redirect,com.librarydreams 1-3,text,true,,489,119,10,10,https://librarydreams.com/,74,0,0
1.67346E+12,584,homePage-1,200,OK,com.librarydreams 1-3,text,true,,1429,123,10,10,https://www.librarydreams.com/,584,0,0
1.67346E+12,167,homePage,200,OK,com.librarydreams 1-1,text,true,,1918,242,10,10,https://www.librarydreams.com/,91,0,0
1.67346E+12,91,homePage-0,308,Permanent Redirect,com.librarydreams 1-1,text,true,,489,119,10,10,https://librarydreams.com/,91,0,0
